name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
C++ video backend разработчик,"C/C++
Linux
Unix
ООП
Video
Backend",,,,Москва,2015-09-22T19:02:47+0300
QA / Auto QA for REST API backend,,,,,Москва,2015-03-26T12:38:17+0300
Веб-программист/ведущий backend-разработчик,,120000.0,,RUR,Москва,2015-03-23T15:31:03+0300
WEB-разработчик backend,,,,,Москва,2015-04-20T19:15:23+0300
"Java/Javascript-разработчик (front, backend)",,20000.0,80000.0,RUR,Санкт-Петербург,2015-06-11T13:02:12+0300
Junior/middle backend php developer,,,,,Киев,2015-05-12T15:29:01+0300
PHP-разработчик backend,,,,,Москва,2015-05-12T15:55:29+0300
Программист (бэкенд),,,,,Тверь,2015-04-28T12:23:56+0300
Разработчик бекэнда,,70000.0,,RUR,Санкт-Петербург,2015-06-08T15:22:58+0300
"Разработчик Java, backend (удаленно, freelance)",,40000.0,60000.0,RUR,Москва,2015-06-04T12:35:39+0300
PHP программист / Ведущий программист (backend),,,,,Москва,2015-08-05T17:05:10+0300
Программист PHP / backend разработчик,"PHP5
SQL
ООП
Yii2
Git
PostgreSQL
solid",,90000.0,RUR,Москва,2015-07-08T15:51:37+0300
"Разработчик ""backend""",,,,,Екатеринбург,2015-02-18T06:35:06+0300
"Senior backend разработчик (php, yii2)",,100000.0,120000.0,RUR,Москва,2015-03-20T14:39:08+0300
"Senior backend разработчик (php, yii2)",,100000.0,120000.0,RUR,Москва,2015-03-20T14:39:08+0300
"Backend разработчик (php, yii2)",,,,,Киров (Кировская область),2015-02-18T14:46:01+0300
Java backend разработчик,,,,,Москва,2015-11-03T11:23:12+0300
Java backend/frontend(web) разработчик,,,,,Красноярск,2015-12-02T15:12:38+0300
Ведущий/бэкенд Java разработчик,,120000.0,140000.0,RUR,Москва,2015-11-03T14:37:36+0300
Senior/Middle backend NET developer,,,,,Харьков,2015-11-03T14:52:58+0300
Senior backend developer,"PHP5
Symfony
Git
Linux",110000.0,120000.0,RUR,Петрозаводск,2015-11-03T16:14:25+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Великий Новгород,2015-11-03T16:46:44+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Великий Новгород,2015-11-03T16:46:44+0300
Java developer (back end),"Java
Web
SQL
JavaScript
jQuery
Git
HTML5
back-end
ПО
Ajax",,,,Омск,2015-11-26T12:02:28+0300
ExpressJS as backend framework (based on Node.js),,1300.0,2000.0,USD,Алматы,2015-03-24T15:47:26+0300
ExpressJS as backend framework (based on Node.js),,1300.0,2000.0,USD,Алматы,2015-03-25T09:35:08+0300
"Веб-разработчик (django, junior)",,20000.0,30000.0,RUR,Екатеринбург,2015-10-19T12:47:59+0300
"Senior backend разработчик (Python, Go)","Python
MongoDB
Go
HTTP
REST
Git
Flask",90000.0,140000.0,RUR,Москва,2015-11-14T13:43:56+0300
